model,phase,device_requested,device_resolved,train_batch_size,inference_batch_size,encoder_batch_size,batched_inference,elapsed_seconds,epochs,jaccard,sf_jaccard,tp,fp,fn,artifact
GNN/GIN,train,cpu,cpu,16,,,,0.366407833,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,inference,cpu,cpu,16,1,1,False,0.03267954200000012,1,0.012987012987012988,161.34642501193116,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,inference,cpu,cpu,16,4096,16,True,0.0015475420000001794,1,0.012987012987012988,3407.1626312737635,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,inference,cpu,cpu,16,4096,64,True,0.0014260829999999114,1,0.012987012987012988,3697.349504010356,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_cpu_trainb16.pkl
GNN/GIN,train,mps,mps,16,,,,0.20604424999999993,1,,,,,,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_mps_trainb16.pkl
GNN/GIN,inference,mps,mps,16,1,1,False,0.740520042,1,0.012987012987012988,7.120303264833544,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_mps_trainb16.pkl
GNN/GIN,inference,mps,mps,16,4096,16,True,0.04325124999999996,1,0.012987012987012988,121.90924592300287,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_mps_trainb16.pkl
GNN/GIN,inference,mps,mps,16,4096,64,True,0.01962304200000009,1,0.012987012987012988,268.7008096261145,3,228,0,/Users/cayofel/Documents/GitHub/isomera_v2/main/data/research_reports/20260604_120053_39950_604003000_batched_execution_probe/models/gnn_mps_trainb16.pkl
VMamba-T,train,cpu,cpu,16,,,,0.09936187500000004,1,,,,,,in_memory
VMamba-T,inference,cpu,cpu,16,1,1,False,0.015277124999999891,1,0.2,5315.136192182795,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,16,1,16,True,0.011320832999999642,1,0.2,7172.617068019868,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,16,1,64,True,0.011149249999999888,1,0.2,7283.001098728687,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,16,4096,1,True,0.014601958000000081,1,0.2,5560.898065862095,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,16,4096,16,True,0.010650916999999982,1,0.2,7623.756715032156,3,12,0,in_memory
VMamba-T,inference,cpu,cpu,16,4096,64,True,0.01078354199999998,1,0.2,7529.993391781676,3,12,0,in_memory
VMamba-T,train,mps,mps,16,,,,0.6354573750000001,1,,,,,,in_memory
VMamba-T,inference,mps,mps,16,1,1,False,0.18928895799999967,1,0.2,428.97378092175956,3,12,0,in_memory
VMamba-T,inference,mps,mps,16,1,16,True,0.264026667,1,0.2,307.54469206703277,3,12,0,in_memory
VMamba-T,inference,mps,mps,16,1,64,True,0.05767924999999963,1,0.2,1407.7852954052025,3,12,0,in_memory
VMamba-T,inference,mps,mps,16,4096,1,True,0.06879854200000013,1,0.2,1180.2575699932688,3,12,0,in_memory
VMamba-T,inference,mps,mps,16,4096,16,True,0.03987979200000025,1,0.2,2036.118944652457,3,12,0,in_memory
VMamba-T,inference,mps,mps,16,4096,64,True,0.038669834000000236,1,0.2,2099.827995124042,3,12,0,in_memory
VMamba-Mesh-T,train,cpu,cpu,16,,,,0.10788991699999961,1,,,,,,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,1,1,False,0.017170290999999782,1,0.2,4729.098650686878,3,12,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,1,16,True,0.012479083000000113,1,0.2,6506.888366717271,3,12,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,1,64,True,0.012275291999999993,1,0.2,6614.913926283794,3,12,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,4096,1,True,0.016160916000000025,1,0.2,5024.467672500734,3,12,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,4096,16,True,0.011781958999999897,1,0.2,6891.892935631563,3,12,0,in_memory
VMamba-Mesh-T,inference,cpu,cpu,16,4096,64,True,0.01185791699999994,1,0.2,6847.74568754364,3,12,0,in_memory
VMamba-Mesh-T,train,mps,mps,16,,,,0.14754216600000003,1,,,,,,in_memory
VMamba-Mesh-T,inference,mps,mps,16,1,1,False,0.07383254199999989,1,0.3333333333333333,1832.97675614817,3,6,0,in_memory
VMamba-Mesh-T,inference,mps,mps,16,1,16,True,0.05477033299999956,1,0.3333333333333333,2470.9240554249395,3,6,0,in_memory
VMamba-Mesh-T,inference,mps,mps,16,1,64,True,0.04978212500000012,1,0.3333333333333333,2718.5125852569167,3,6,0,in_memory
VMamba-Mesh-T,inference,mps,mps,16,4096,1,True,0.06539099999999998,1,0.3333333333333333,2069.6018310368913,3,6,0,in_memory
VMamba-Mesh-T,inference,mps,mps,16,4096,16,True,0.04279483400000039,1,0.3333333333333333,3162.375471145234,3,6,0,in_memory
VMamba-Mesh-T,inference,mps,mps,16,4096,64,True,0.040369832999999744,1,0.3333333333333333,3352.3382009862207,3,6,0,in_memory
